entry_month,formation_month,PERMNO,Ticker,formation_ret,decile
2024-07-01,2024-06-01,21723,HOOD,0.7825738216593228,10.0
2024-07-01,2024-06-01,13407,META,0.4274484195358828,10.0
2024-07-01,2024-06-01,82694,EME,0.6972700971683337,10.0
2024-07-01,2024-06-01,24643,HWM,0.43649068631340027,10.0
2024-07-01,2024-06-01,82307,DVA,0.32273743238295927,10.0
2024-07-01,2024-06-01,12476,TRGP,0.5005013632249591,10.0
2024-07-01,2024-06-01,48486,LRCX,0.36487008385564856,10.0
2024-07-01,2024-06-01,14714,ANET,0.48817381470440746,10.0
2024-07-01,2024-06-01,83011,WSM,0.41116448847260156,10.0
2024-07-01,2024-06-01,51369,TER,0.36924449553051636,10.0
2024-07-01,2024-06-01,13641,FANG,0.3261690062879866,10.0
2024-07-01,2024-06-01,85059,FIX,0.4811438507761768,10.0
2024-07-01,2024-06-01,92043,IBKR,0.48319330011231176,10.0
2024-07-01,2024-06-01,20894,APP,1.0883311561886995,10.0
2024-07-01,2024-06-01,18267,DELL,0.8179395970293166,10.0
2024-07-01,2024-06-01,84769,APH,0.3641013881851443,10.0
2024-07-01,2024-06-01,16736,VST,1.2451865431393614,10.0
2024-07-01,2024-06-01,90071,NRG,0.5260772364579784,10.0
2024-07-01,2024-06-01,53613,MU,0.542748425524602,10.0
2024-07-01,2024-06-01,19788,PLTR,0.4752472673492135,10.0
2024-07-01,2024-06-01,22623,CEG,0.7194236193722496,10.0
2024-07-01,2024-06-01,90455,MPWR,0.3070455924666623,10.0
2024-07-01,2024-06-01,93002,AVGO,0.44900382266660194,10.0
2024-07-01,2024-06-01,12431,TT,0.35620414623553875,10.0
2024-07-01,2024-06-01,82598,NTAP,0.47647690308986507,10.0
2024-07-01,2024-06-01,91907,SMCI,1.8823987348405766,10.0
2024-07-01,2024-06-01,77605,BSX,0.332121887687725,10.0
2024-07-01,2024-06-01,79686,DECK,0.448093793549146,10.0
2024-07-01,2024-06-01,91611,FSLR,0.3086826483821206,10.0
2024-07-01,2024-06-01,50876,LLY,0.5584163384258183,10.0
2024-07-01,2024-06-01,87356,TKO,0.3237313404613761,10.0
2024-07-01,2024-06-01,89393,NFLX,0.3861324209521717,10.0
2024-07-01,2024-06-01,77178,QCOM,0.3899827988165125,10.0
2024-07-01,2024-06-01,86580,NVDA,1.4949729496050788,10.0
2024-07-01,2024-06-01,64390,PGR,0.311202367897744,10.0
2024-07-01,2024-06-01,10104,ORCL,0.3487961646212027,10.0
2024-07-01,2024-06-01,66384,WDC,0.4468192989623006,10.0
2024-07-01,2024-06-01,11762,ETN,0.30995425407708393,10.0
2024-07-01,2024-06-01,91068,CMG,0.3697229502794071,10.0
2024-07-01,2024-06-01,12060,GE,0.5678303124543649,10.0
2024-08-01,2024-07-01,21573,IP,0.3282804354335018,10.0
2024-08-01,2024-07-01,86868,GS,0.3429896009063456,10.0
2024-08-01,2024-07-01,51369,TER,0.36065581556909004,10.0
2024-08-01,2024-07-01,24174,VLTO,0.39219505655070763,10.0
2024-08-01,2024-07-01,93002,AVGO,0.37180483855558333,10.0
2024-08-01,2024-07-01,92043,IBKR,0.34779682513533594,10.0
2024-08-01,2024-07-01,85792,PWR,0.3685524328662435,10.0
2024-08-01,2024-07-01,88837,GRMN,0.4470280837696932,10.0
2024-08-01,2024-07-01,21723,HOOD,0.9152686969572528,10.0
2024-08-01,2024-07-01,90071,NRG,0.42518027552265075,10.0
2024-08-01,2024-07-01,14714,ANET,0.33968593960946825,10.0
2024-08-01,2024-07-01,14889,CFG,0.3339634389689144,10.0
2024-08-01,2024-07-01,20894,APP,0.8745449007504771,10.0
2024-08-01,2024-07-01,24643,HWM,0.7035041007070968,10.0
2024-08-01,2024-07-01,19788,PLTR,0.6712232641163691,10.0
2024-08-01,2024-07-01,15315,GDDY,0.3636783913594796,10.0
2024-08-01,2024-07-01,12060,GE,0.6206650440232395,10.0
2024-08-01,2024-07-01,20391,TPL,0.7658120978718475,10.0
2024-08-01,2024-07-01,16655,CVNA,2.094049687231786,10.0
2024-08-01,2024-07-01,82694,EME,0.6481391802067937,10.0
2024-08-01,2024-07-01,90455,MPWR,0.4368343450288114,10.0
2024-08-01,2024-07-01,82598,NTAP,0.4690326089391493,10.0
2024-08-01,2024-07-01,45356,JCI,0.3729814387732244,10.0
2024-08-01,2024-07-01,86580,NVDA,0.9021764472317053,10.0
2024-08-01,2024-07-01,76795,ZBRA,0.46604024126841676,10.0
2024-08-01,2024-07-01,52978,HAS,0.33189070086062783,10.0
2024-08-01,2024-07-01,91611,FSLR,0.47634894895322105,10.0
2024-08-01,2024-07-01,12431,TT,0.333697311026122,10.0
2024-08-01,2024-07-01,75034,BKR,0.37726979087359835,10.0
2024-08-01,2024-07-01,22592,MMM,0.6378706866381278,10.0
2024-08-01,2024-07-01,87034,LII,0.36882552796779766,10.0
2024-08-01,2024-07-01,23712,PEG,0.3996582343083944,10.0
2024-08-01,2024-07-01,11990,KKR,0.4307173284221636,10.0
2024-08-01,2024-07-01,20892,COIN,0.7500796804166201,10.0
2024-08-01,2024-07-01,22623,CEG,0.5612809154742171,10.0
2024-08-01,2024-07-01,46886,KLAC,0.3913864325774572,10.0
2024-08-01,2024-07-01,18267,DELL,0.38177166623137754,10.0
2024-08-01,2024-07-01,79637,UHS,0.3490672317378101,10.0
2024-08-01,2024-07-01,16736,VST,0.9421132031290249,10.0
2024-08-01,2024-07-01,76185,TYL,0.34384280184589816,10.0
2024-08-01,2024-07-01,12476,TRGP,0.6113528233370014,10.0
2024-08-01,2024-07-01,21207,NEM,0.44136176491654283,10.0
2024-08-01,2024-07-01,93246,GNRC,0.3695799306478102,10.0
2024-08-01,2024-07-01,85059,FIX,0.5311263781183686,10.0
2024-08-01,2024-07-01,11533,FICO,0.33463545444530507,10.0
2024-08-01,2024-07-01,13641,FANG,0.3518948595459127,10.0
2024-08-01,2024-07-01,83143,IRM,0.5428858256991369,10.0
2024-08-01,2024-07-01,83011,WSM,0.6123684097566704,10.0
